index	u_check
0	1.6722992613612309
1	-1.1520953475076379
2	-1.2351825827057479
3	-0.2885035031677542
4	0.36920157289926436
5	0.43059848657804495
6	0.1886436089056594
7	-0.024803169499071992
8	-0.08902455795003905
9	-0.05238364157697531
10	-0.0007812574431825675
11	0.021550489733584137
12	0.01662004553868032
13	0.003705843480792507
14	-0.003907035561686076
15	-0.004320374934108466
16	-0.0015605541855284698
17	0.0006237459494981405
18	0.0011022074214585174
19	0.0005625648332771813
20	-3.1363928404773704e-05
21	-0.00025046041799473495
22	-0.00017099262808745213
23	-2.376128533154701e-05
24	5.217393911646614e-05
25	4.815984059619943e-05
26	1.4301033358402052e-05
27	-9.01791779432929e-06
28	-1.243770513402079e-05
29	-5.485089228027567e-06
30	1.0199673464235702e-06
31	2.98185906797187e-06
32	1.7817385636834407e-06
33	1.0044169668012868e-07
34	-6.49869077450564e-07
35	-5.191190164200915e-07
36	-1.1800736165218389e-07
37	1.2412428351772824e-07
38	1.3935790882875287e-07
39	5.216383114678574e-08
40	-1.8224839536797804e-08
41	-3.46133285603424e-08
42	-1.8074770105206754e-08
43	7.604670772835755e-10
44	7.905657964702635e-09
45	5.511369629640194e-09
46	8.44844616815267e-10
47	-1.6177261478688423e-09
48	-1.534289841760841e-09
49	-4.721140288571874e-10
50	2.7595339269633207e-10
51	3.9502554555578533e-10
52	1.7867854916012072e-10
53	-2.8988586277639417e-11
54	-9.395415897525412e-11
55	-5.738883809471694e-11
56	-4.0679631197681195e-12
57	2.0327448510842787e-11
58	1.661845341491564e-11
59	3.9737967589422534e-12
60	-3.828014934287631e-12
61	-4.43311923508209e-12
62	-1.7080290764320876e-12
63	5.441108510348359e-13
64	1.094705073109481e-12
65	5.848101188022779e-13
66	-1.4334687616800165e-14
67	-2.4821398698709606e-13
68	-1.7691160268447409e-13
69	-2.937210938025736e-14
70	5.027108462437637e-14
71	4.894650911684046e-14
72	1.560516901861089e-14
73	-8.402702707124528e-15
74	-1.2527915837641185e-14
75	-5.808380194033105e-15
76	8.150398247752148e-16
77	2.9605048688544957e-15
78	1.8483238593378713e-15
79	1.5763232917925643e-16
80	-6.350895329020884e-16
81	-5.31618170128499e-16
82	-1.332877381922612e-16
83	1.1791663745125881e-16
84	1.4097794248153523e-16
85	5.586899311923796e-17
86	-1.6160778147963157e-17
87	-3.460227730693451e-17
88	-1.8906901684521866e-17
89	1.4259527446502715e-19
90	7.788549643246487e-18
91	5.676043776684667e-18
92	1.013562941150173e-18
93	-1.5604924307210151e-18
94	-1.5607486224712571e-18
95	-5.148676834260464e-19
96	2.552224041729274e-19
97	3.9713370636815594e-19
98	1.8865328245171648e-19
99	-2.2502974947259562e-20
